Gamma	Asphericity	Radius	Volume	Area	MorseEnergy	NormalityEn	CircularityEn	TotalOPSEnergy	RMSAngleDeficit
50390.2	0.00347766	2.21437	41.2398	60.6218	-210	0.0636191	0.029387	-209.907	0.426968
49698.2	0.00347754	2.21437	41.2398	60.6218	-210	0.064505	0.0297952	-209.906	0.42696
49015.6	0.00347743	2.21437	41.2399	60.6218	-210	0.0654032	0.0302091	-209.904	0.426952
48342.4	0.00347731	2.21437	41.24	60.6218	-210	0.066314	0.0306288	-209.903	0.426944
47678.5	0.00347718	2.21438	41.2401	60.6218	-210	0.0672374	0.0310542	-209.902	0.426936
47023.7	0.00347706	2.21438	41.2401	60.6218	-210	0.0681737	0.0314856	-209.9	0.426928
46377.8	0.00347693	2.21438	41.2402	60.6218	-210	0.0691231	0.0319229	-209.899	0.42692
45740.9	0.00347681	2.21438	41.2403	60.6218	-210	0.0700857	0.0323663	-209.898	0.426912
45112.7	0.00347668	2.21438	41.2404	60.6218	-210	0.0710616	0.0328158	-209.896	0.426903
44493.1	0.00347655	2.21438	41.2404	60.6218	-210	0.0720512	0.0332716	-209.895	0.426895
43882	0.00347642	2.21438	41.2405	60.6218	-210	0.0730545	0.0337337	-209.893	0.426886
43279.3	0.00347628	2.21438	41.2406	60.6218	-210	0.0740718	0.0342021	-209.892	0.426877
42684.9	0.00347615	2.21438	41.2407	60.6218	-210	0.0751033	0.0346771	-209.89	0.426868
42098.7	0.00347601	2.21439	41.2408	60.6218	-210	0.0761491	0.0351586	-209.889	0.426859
41520.5	0.00347587	2.21439	41.2408	60.6218	-210	0.0772095	0.0356468	-209.887	0.42685
40950.2	0.00347573	2.21439	41.2409	60.6218	-210	0.0782847	0.0361418	-209.886	0.426841
40387.8	0.00347558	2.21439	41.241	60.6218	-210	0.0793748	0.0366436	-209.884	0.426832
39833.1	0.00347544	2.21439	41.2411	60.6218	-210	0.0804801	0.0371524	-209.882	0.426822
39286.1	0.00347529	2.21439	41.2412	60.6218	-210	0.0815966	0.0376724	-209.881	0.426812
38746.5	0.00347514	2.21439	41.2413	60.6218	-210	0.0827328	0.0381954	-209.879	0.426803
38214.3	0.00347499	2.21439	41.2414	60.6218	-210	0.0838849	0.0387256	-209.877	0.426793
37689.5	0.00347483	2.21439	41.2415	60.6218	-210	0.0850531	0.0392632	-209.876	0.426782
37171.9	0.00347467	2.2144	41.2416	60.6218	-210	0.0862374	0.0398082	-209.874	0.426772
36661.3	0.00347452	2.2144	41.2417	60.6218	-210	0.0874383	0.0403607	-209.872	0.426762
36157.8	0.00347436	2.2144	41.2418	60.6218	-210	0.0886559	0.0409209	-209.87	0.426751
35661.2	0.00347419	2.2144	41.2419	60.6218	-210	0.0898905	0.0414889	-209.869	0.426741
35171.5	0.00347403	2.2144	41.242	60.6218	-210	0.0911423	0.0420647	-209.867	0.42673
34688.4	0.00347386	2.2144	41.2421	60.6218	-210	0.0924115	0.0426484	-209.865	0.426719
34212	0.00347369	2.2144	41.2422	60.6218	-210	0.0936983	0.0432403	-209.863	0.426708
33742.1	0.00347352	2.21441	41.2423	60.6218	-210	0.0950031	0.0438403	-209.861	0.426697
33278.7	0.00347334	2.21441	41.2424	60.6218	-210	0.096326	0.0444486	-209.859	0.426685
32821.6	0.00347317	2.21441	41.2425	60.6218	-210	0.0976674	0.0450653	-209.857	0.426674
32370.9	0.00347299	2.21441	41.2426	60.6218	-210	0.0990275	0.0456906	-209.855	0.426662
31926.3	0.0034728	2.21441	41.2427	60.6218	-210	0.100406	0.0463245	-209.853	0.42665
31487.8	0.00347262	2.21441	41.2428	60.6218	-210	0.1018	0.0469713	-209.851	0.426638
31055.3	0.00347243	2.21441	41.2429	60.6218	-210	0.103218	0.0476229	-209.849	0.426626
30628.8	0.00347224	2.21442	41.243	60.6218	-210	0.104655	0.0482835	-209.847	0.426613
30208.2	0.00347205	2.21442	41.2432	60.6218	-210	0.106113	0.0489532	-209.845	0.426601
29793.3	0.00347186	2.21442	41.2433	60.6218	-210	0.10759	0.0496321	-209.843	0.426588
29384.1	0.00347166	2.21442	41.2434	60.6218	-210	0.109089	0.0503205	-209.84	0.426575
